Column1,carat,cut,color,clarity,depth,table,price,x,y,z,volume,,,,
27663,2.1,Ideal,H,SI1,62.9,57,18648,8.19,8.12,5.13,341.159364,,,,
27662,2.09,Very Good,F,SI2,63.4,55,18640,8.18,8.11,5.16,342.313368,,,,
27661,2.01,Good,H,VS2,63.3,55,18640,7.87,7.94,5,312.439,,,,
27660,2.03,Very Good,G,SI1,60.1,60,18630,8.09,8.18,4.89,323.601618,,,,
27659,2.01,Good,G,SI1,60.3,60,18625,8.07,8.18,4.9,323.46174,,,,
27658,2.42,Premium,J,VS2,61.3,59,18615,8.61,8.58,5.27,389.314926,,,,
27657,1.49,Ideal,F,VVS2,61.1,58,18614,7.36,7.38,4.5,244.4256,,,,
27656,2.07,Premium,F,SI2,60.7,59,18611,8.21,8.16,4.97,332.958192,,,,
27655,2.01,Ideal,G,VS2,61.4,54,18607,8.16,8.09,4.99,329.411856,,,,
27654,2,Ideal,H,SI1,65,61,18604,7.9,7.79,5.11,314.47451,,,,
27653,1.71,Ideal,G,VVS2,62.1,55,18599,7.63,7.66,4.75,277.61755,,,,
27652,1.7,Premium,F,VS1,60.6,58,18598,7.71,7.68,4.66,275.931648,,,,
27651,2.29,Premium,J,IF,61.4,60,18594,8.49,8.45,5.2,373.0506,,,,
27650,3.01,Good,H,SI2,57.6,64,18593,9.44,9.38,5.42,479.925824,,,,
27649,2.03,Ideal,F,SI2,61.6,55,18578,8.19,8.14,5.03,335.332998,,,,
27648,2.11,Premium,D,SI2,60.9,60,18575,8.28,8.21,5.02,341.253576,,,,
27647,2.01,Fair,G,SI1,70.6,64,18574,7.43,6.64,4.69,231.382088,,,,
27646,2.01,Good,G,SI1,63.1,59,18572,7.98,8.03,5.05,323.60097,,,,
27645,1.6,Ideal,F,VS1,60.5,57,18571,7.6,7.63,4.61,267.32468,,,,
27644,2.02,Fair,H,VS2,64.5,57,18565,8,7.95,5.14,326.904,,,,
27642,2.01,Good,H,VS2,57.8,60,18561,8.29,8.35,4.81,332.955415,,,,
27643,2.01,Very Good,H,VS2,60.7,56,18561,8.08,8.17,4.93,325.447048,,,,
27639,3.04,Premium,I,SI2,59.3,60,18559,9.51,9.46,5.62,505.601052,,,,
27640,2.38,Premium,J,VS2,62.1,58,18559,8.54,8.49,5.29,383.549334,,,,
27641,2.09,Premium,H,SI1,61.1,56,18559,8.3,8.23,5.05,344.96045,,,,
27638,1.72,Very Good,E,VS2,63.4,56,18557,7.65,7.55,4.82,278.39115,,,,
27637,1.5,Very Good,F,IF,63.2,58,18552,7.2,7.32,4.59,241.91136,,,,
27636,1.04,Very Good,D,IF,61.3,56,18542,6.53,6.55,4.01,171.513715,,,,
27634,2.4,Good,I,SI1,56.9,62,18541,8.87,8.81,5.03,393.067841,,,,
27635,2.4,Ideal,H,SI2,62,55,18541,8.6,8.57,5.32,392.09464,,,,
27633,2.03,Ideal,F,SI2,61.4,58,18535,8.12,8.16,5,331.296,,,,
27632,2.32,Ideal,G,SI2,61,58,18532,8.5,8.54,5.2,377.468,,,,
27631,4.5,Fair,J,I1,65.8,58,18531,10.23,10.16,6.72,698.455296,,,,
27630,2.22,Ideal,I,VS2,61.3,56,18531,8.45,8.36,5.15,363.8063,,,,
27629,2.14,Ideal,H,SI1,61.5,57,18528,8.36,8.29,5.12,354.838528,,,,
27628,2.14,Very Good,D,SI2,60.3,60,18526,8.31,8.43,5.05,353.769165,,,,
27627,1.83,Premium,G,VS2,60.5,59,18525,7.99,7.89,4.8,302.59728,,,,
27626,2,Very Good,G,SI1,61.8,61,18524,8,8.09,4.97,321.6584,,,,
27625,2.38,Premium,H,VS1,60.9,59,18522,8.62,8.59,5.24,387.999992,,,,
27624,2,Fair,G,VS2,67.6,58,18515,7.65,7.61,5.16,300.39714,,,,
27623,2.09,Very Good,F,SI2,61.3,59,18509,8.19,8.33,5.06,345.206862,,,,
27622,2.37,Ideal,J,SI1,61.9,55,18508,8.53,8.56,5.29,386.258872,,,,
27621,2.32,Very Good,H,SI2,60.6,58,18508,8.56,8.6,5.2,382.8032,,,,
27620,2.03,Very Good,G,SI1,61.7,54,18507,8.07,8.19,5.02,331.788366,,,,
27619,2.01,Very Good,H,VS2,63.2,58,18507,7.93,8.01,5.04,320.137272,,,,
27618,2.01,Very Good,I,VS1,63,59,18500,7.87,7.94,4.98,311.189244,,,,
27617,2.66,Good,H,SI2,64.3,60,18495,8.71,8.65,5.58,420.40557,,,,
27616,2,Premium,F,SI1,62.6,59,18493,8.1,8.04,5.05,328.8762,,,,
27615,2.07,Very Good,H,SI1,59.5,59,18489,8.27,8.3,4.92,337.71372,,,,
27614,2.02,Premium,F,SI2,61.7,58,18487,8.15,8.11,5.02,331.80443,,,,
27613,2.57,Premium,J,SI1,63,58,18485,8.77,8.65,5.49,416.474145,,,,
27612,2.21,Very Good,F,SI2,61,58,18483,8.36,8.43,5.12,360.830976,,,,
27611,2.16,Premium,I,VS2,58.7,60,18481,8.54,8.5,5,362.95,,,,
27610,2.1,Very Good,H,SI1,62.9,57,18480,8.12,8.19,5.13,341.159364,,,,
27609,2.03,Premium,E,SI2,61.5,59,18477,8.24,8.16,5.04,338.881536,,,,
27608,2.19,Ideal,H,SI1,60.6,57,18475,8.39,8.35,5.07,355.186455,,,,
27607,2.01,Good,H,VS2,64.1,59,18474,7.91,7.85,5.05,313.572175,,,,
27606,2.09,Good,F,SI2,63.4,55,18472,8.11,8.18,5.16,342.313368,,,,
27605,2.15,Ideal,H,SI1,61.5,60,18470,8.17,8.29,5.06,342.710258,,,,
27604,2.04,Good,D,SI1,61.9,60,18468,8.15,8.11,5.03,332.465395,,,,
27603,2.16,Ideal,J,VS1,61.4,55,18462,8.34,8.27,5.1,351.75618,,,,
27602,2.1,Ideal,H,SI2,63.1,55,18462,8.17,8.13,5.14,341.409594,,,,
27601,2.03,Ideal,F,SI2,63.3,55,18458,7.96,8.05,5.08,325.51624,,,,
27599,2.5,Premium,I,SI2,59,60,18447,8.76,8.89,5.21,405.736044,,,,
27600,2.08,Premium,I,VS2,58.9,61,18447,8.36,8.35,4.92,343.44552,,,,
27598,1.7,Ideal,G,VVS1,61,56,18445,7.67,7.62,4.66,272.355564,,,,
27597,2.09,Premium,H,VS2,62.2,58,18443,8.17,8.12,5.06,335.682424,,,,
27596,2.13,Ideal,H,SI1,62.2,55,18442,8.27,8.2,5.12,347.20768,,,,
27594,2,Ideal,H,SI1,62.8,52,18440,8.05,8.1,5.06,329.9373,,,,
27595,2,Ideal,H,SI1,63.9,54,18440,7.92,8,5.1,323.136,,,,
27593,2.06,Premium,G,SI1,61.5,58,18439,8.2,8.15,5.03,336.1549,,,,
27592,1.33,Ideal,F,IF,60.2,57,18435,7.12,7.17,4.3,219.51672,,,,
27591,2.22,Premium,I,SI1,59.9,59,18432,8.46,8.41,5.05,359.30043,,,,
27590,1.72,Ideal,G,VVS2,62,57,18431,7.63,7.72,4.76,280.381136,,,,
27587,2.44,Very Good,J,VS2,58.1,60,18430,8.89,8.93,5.18,411.228286,,,,
27588,1.74,Very Good,F,VS2,62,57,18430,7.65,7.7,4.76,280.3878,,,,
27589,1.7,Premium,F,VS1,60.6,58,18430,7.68,7.71,4.66,275.931648,,,,
27586,1.79,Very Good,F,VS2,62.8,59,18429,7.7,7.8,4.87,292.4922,,,,
27583,2.26,Premium,H,SI1,60.3,58,18426,8.56,8.51,5.15,375.15484,,,,
27584,2.29,Premium,J,IF,61.4,60,18426,8.45,8.49,5.2,373.0506,,,,
27585,2,Premium,E,SI2,61.8,56,18426,8.12,8.05,5,326.83,,,,
27582,2.03,Premium,G,SI1,61.3,59,18423,8.11,8.08,4.96,325.022848,,,,
27581,1.6,Ideal,F,VS2,62,55,18421,7.49,7.54,4.66,263.171636,,,,
27580,1.79,Premium,G,VS1,61.7,59,18419,7.85,7.74,4.81,292.25079,,,,
27579,1.54,Ideal,F,VS1,60.3,57,18416,7.49,7.56,4.54,257.074776,,,,
27578,2.11,Very Good,D,SI2,60.9,60,18407,8.21,8.28,5.02,341.253576,,,,
27577,2.08,Very Good,D,SI2,60.1,59,18405,8.29,8.37,5.01,347.630373,,,,
27574,2.02,Very Good,H,VS2,62.7,58,18398,7.96,8.01,5.01,319.435596,,,,
27575,2.01,Very Good,G,SI1,62.1,60,18398,7.94,8.03,4.96,316.240672,,,,
27576,1.7,Premium,F,VS1,58.5,60,18398,7.83,7.76,4.56,277.069248,,,,
27573,2.01,Ideal,F,SI2,61.9,55,18395,8.1,8.05,5,326.025,,,,
27572,2.01,Ideal,F,SI2,61.7,56,18394,8.12,8.16,5.02,332.621184,,,,
27571,2.09,Very Good,H,SI1,61.1,56,18392,8.23,8.3,5.05,344.96045,,,,
27570,1.73,Premium,G,VVS2,62.6,55,18377,7.76,7.66,4.83,287.102928,,,,
27569,2,Good,F,SI1,63,61,18376,7.85,7.99,4.99,312.980285,,,,
27567,2.4,Ideal,H,SI2,62,55,18374,8.57,8.6,5.32,392.09464,,,,
27568,2.01,Good,G,SI1,60.1,61,18374,8.04,8.12,4.86,317.284128,,,,
27564,2.32,Very Good,I,SI1,63.2,59,18371,8.55,8.44,5.37,387.50994,,,,
27563,2.06,Ideal,D,SI2,60.3,56,18371,8.29,8.25,4.99,341.278575,,,,
27566,2,Premium,H,SI1,58.2,60,18371,8.34,8.26,4.83,332.730972,,,,
27565,2,Premium,H,SI1,63,56,18371,7.98,7.93,5.01,317.039814,,,,
27562,2.6,Ideal,J,SI2,62.5,56,18369,8.81,8.76,5.49,423.694044,,,,
27561,2.2,Premium,I,VS2,62,57,18364,8.38,8.34,5.18,362.026056,,,,
27560,2.22,Ideal,I,VS2,61.3,56,18363,8.36,8.45,5.15,363.8063,,,,
27559,2.07,Premium,I,VS2,61.2,58,18359,8.2,8.18,5.01,336.05076,,,,
27558,1.83,Very Good,G,VS2,60.5,59,18358,7.89,7.99,4.8,302.59728,,,,
27557,2.07,Ideal,F,SI2,61.5,55,18344,8.23,8.28,5.08,346.173552,,,,
27556,2.27,Ideal,G,SI1,61.1,60,18343,8.46,8.42,5.16,367.563312,,,,
27554,2.16,Ideal,I,VS1,62.7,56,18342,8.28,8.2,5.17,351.02232,,,,
27555,1.7,Premium,E,VS2,58.6,62,18342,7.92,7.84,4.62,286.868736,,,,
27553,2.01,Good,H,VS1,57.6,63,18340,8.23,8.25,4.75,322.513125,,,,
27552,2.49,Premium,I,SI2,61.2,56,18325,8.76,8.7,5.34,406.97208,,,,
27551,2.5,Good,J,VS2,62,58,18325,8.63,8.6,5.34,396.32412,,,,
27550,2.02,Ideal,I,VS1,62.1,56,18324,8.13,8.09,5.04,331.489368,,,,
27549,2.02,Premium,F,SI2,61.7,58,18320,8.11,8.15,5.02,331.80443,,,,
27547,2.05,Premium,H,VS2,61.8,60,18318,8.19,8.14,5.05,336.66633,,,,
27548,1.61,Ideal,D,VS2,62,55,18318,7.51,7.5,4.67,263.03775,,,,
27546,2.1,Ideal,G,SI2,61.3,55,18312,8.19,8.25,5.04,340.5402,,,,
27545,2.03,Premium,E,SI2,61.5,59,18310,8.16,8.24,5.04,338.881536,,,,
27544,2.51,Fair,H,SI2,64.7,57,18308,8.44,8.5,5.48,393.1352,,,,
27543,1.93,Ideal,F,SI1,59.5,60,18306,8.1,8.13,4.83,318.06999,,,,
27542,2.3,Ideal,H,SI2,61.6,56,18304,8.48,8.52,5.24,378.587904,,,,
27541,2.24,Ideal,I,SI1,60.5,59,18299,8.45,8.5,5.13,368.46225,,,,
27540,2.02,Ideal,G,SI2,62,55,18296,8.16,8.1,5.04,333.12384,,,,
27539,2.01,Premium,H,SI1,61.4,56,18295,8.19,8.13,5.01,333.589347,,,,
27538,2.01,Ideal,H,SI1,62.1,55,18295,8.12,8.07,5.03,329.607852,,,,
27537,1.54,Ideal,G,VVS1,61.4,56,18294,7.42,7.47,4.57,253.303218,,,,
27536,2.06,Ideal,G,SI2,62.3,56,18293,8.16,8.09,5.06,334.032864,,,,
27535,2.14,Premium,E,SI2,61.5,58,18291,8.31,8.24,5.09,348.534696,,,,
27534,2.03,Premium,D,SI2,62.4,59,18286,8.04,7.98,5,320.796,,,,
27532,2.08,Very Good,I,VS2,58.9,61,18281,8.35,8.36,4.92,343.44552,,,,
27533,1.62,Ideal,F,VS2,61.2,57,18281,7.52,7.58,4.62,263.347392,,,,
27530,1.7,Ideal,G,VVS1,61,56,18279,7.62,7.67,4.66,272.355564,,,,
27531,1.07,Premium,D,IF,60.9,58,18279,6.67,6.57,4.03,176.602257,,,,
27529,2.21,Ideal,G,SI2,61.9,55,18276,8.4,8.36,5.19,364.46256,,,,
27528,2.13,Ideal,H,SI1,62.2,55,18275,8.2,8.27,5.12,347.20768,,,,
27527,2.02,Premium,F,SI2,61.3,59,18274,8.15,8.11,4.98,329.16057,,,,
27526,2.01,Ideal,G,SI2,61.7,57,18259,8.13,8.1,5.01,329.92353,,,,
27525,2.03,Very Good,G,SI1,61.3,59,18257,8.08,8.11,4.96,325.022848,,,,
27524,2.51,Premium,I,SI2,62.3,57,18255,8.76,8.69,5.44,414.116736,,,,
27523,2.53,Premium,H,SI1,62.1,59,18254,8.83,8.73,5.45,420.118155,,,,
27522,2.52,Premium,I,SI1,58.5,59,18252,8.9,8.87,5.2,410.5036,,,,
27521,2.01,Ideal,H,SI1,62.2,56,18252,8.03,8.05,5,323.2075,,,,
27520,1.7,Premium,F,VS2,62.8,58,18251,7.61,7.54,4.76,273.125944,,,,
27515,3.01,Premium,I,SI2,60.2,59,18242,9.36,9.31,5.62,489.735792,,,,
27516,3.01,Fair,I,SI2,65.8,56,18242,8.99,8.94,5.9,474.18654,,,,
27517,3.01,Fair,I,SI2,65.8,56,18242,8.99,8.94,5.9,474.18654,,,,
27518,3.01,Good,I,SI2,63.9,60,18242,9.06,9.01,5.77,471.008562,,,,
27519,3.01,Good,I,SI2,63.9,60,18242,9.06,9.01,5.77,471.008562,,,,
27514,2.3,Premium,I,VS2,61.8,60,18239,8.47,8.39,5.21,370.239793,,,,
27511,2.02,Very Good,H,SI1,59.6,59,18236,8.27,8.35,4.95,341.819775,,,,
27513,2.02,Good,E,SI2,58.8,61,18236,8.21,8.25,4.84,327.8253,,,,
27512,2.02,Very Good,H,SI1,61.1,58,18236,8.07,8.16,4.96,326.621952,,,,
27510,2.02,Very Good,H,SI1,59.3,60,18236,8.14,8.21,4.85,324.12259,,,,
27509,2.19,Premium,E,SI2,62.4,61,18232,8.31,8.23,5.16,352.899108,,,,
27507,2.04,Premium,F,SI2,60.2,58,18231,8.24,8.17,4.94,332.564752,,,,
27508,1.09,Very Good,D,IF,61.7,58,18231,6.55,6.65,4.07,177.279025,,,,
27506,2.09,Very Good,I,VS1,62.9,57,18215,8.09,8.13,5.1,335.43567,,,,
27505,1.73,Very Good,G,VVS2,62.6,55,18211,7.66,7.76,4.83,287.102928,,,,
27503,2.02,Premium,H,VS2,60.8,62,18207,8.17,8.12,4.95,328.38498,,,,
27502,2.01,Premium,I,VS1,62.9,59,18206,8.03,7.94,5.02,320.066164,,,,
27501,2.07,Ideal,H,SI2,63.5,53,18198,8.12,8.09,5.14,337.650712,,,,
27500,2.2,Premium,G,SI1,60.5,55,18193,8.49,8.42,5.11,365.292438,,,,
27498,2.07,Premium,I,VS2,61.2,58,18193,8.18,8.2,5.01,336.05076,,,,
27499,2.05,Ideal,E,SI1,62.4,57,18193,8.17,8.09,5.08,335.764124,,,,
27497,2.3,Ideal,I,VS2,62.6,56,18190,8.45,8.4,5.27,374.0646,,,,
27495,2.01,Premium,H,SI1,61.7,60,18188,8.06,7.96,4.94,316.938544,,,,
27496,1.55,Ideal,E,VVS2,62.5,55,18188,7.38,7.4,4.62,252.30744,,,,
27494,2.01,Ideal,H,SI1,62.8,54,18186,8.03,8.08,5.05,327.65612,,,,
27493,2,Very Good,G,SI1,62.5,58,18186,7.98,8.04,5.01,321.437592,,,,
27492,2.01,Ideal,F,SI2,61.6,55,18183,8.08,8.02,4.97,322.063952,,,,
27491,2.05,Ideal,G,SI2,61.6,56,18181,8.16,8.11,5.01,331.549776,,,,
27490,2.52,Premium,F,SI2,60.6,60,18179,8.78,8.7,5.3,404.8458,,,,
27489,1.63,Ideal,F,VS1,61.6,57,18179,7.53,7.61,4.66,267.033378,,,,
27488,1.76,Ideal,G,VS1,62.8,55,18178,7.74,7.7,4.85,289.0503,,,,
27487,1.7,Very Good,E,VS2,58.6,62,18176,7.84,7.92,4.62,286.868736,,,,
27485,2,Ideal,F,SI2,62.6,57,18172,8.08,8.01,5.04,326.192832,,,,
27486,2.01,Ideal,G,VS2,63,56,18172,8,7.93,5.02,318.4688,,,,
27484,2.2,Ideal,G,SI2,62,57,18168,8.31,8.27,5.14,353.239818,,,,
27483,2.03,Premium,G,VS2,60.9,59,18166,8.17,8.14,4.97,330.523886,,,,
27482,2.12,Premium,G,SI2,62.6,59,18164,8.18,8.12,5.1,338.75016,,,,
27481,1.5,Ideal,F,VVS2,63.1,57,18159,7.32,7.23,4.59,242.919324,,,,
27480,2.04,Ideal,G,SI1,61.9,58,18153,8.12,8.16,5.04,333.946368,,,,
27479,2.05,Very Good,H,VS2,61.8,60,18152,8.14,8.19,5.05,336.66633,,,,
27477,2.23,Premium,I,VS2,61.2,58,18149,8.43,8.36,5.14,362.240472,,,,
27478,2.01,Very Good,H,SI1,59.1,58,18149,8.29,8.36,4.92,340.977648,,,,
27476,2.03,Premium,H,VS2,62.1,56,18139,8.2,8.12,5.07,337.58088,,,,
27475,2.03,Premium,H,VS2,62.6,59,18139,8.1,8.06,5.06,330.34716,,,,
27473,2.21,Ideal,G,SI2,60.2,60,18128,8.38,8.47,5.07,359.861502,,,,
27474,2.08,Ideal,E,SI2,60.2,60,18128,8.28,8.32,5,344.448,,,,
27471,2.08,Very Good,E,SI2,62.4,60,18128,8.13,8.15,5.08,336.59826,,,,
27472,1.78,Ideal,F,VS2,60.9,56,18128,7.85,7.88,4.79,296.29982,,,,
27470,2.04,Very Good,I,VS1,61.8,60,18127,8.11,8.21,5.04,335.578824,,,,
27469,2.14,Very Good,E,SI2,61.5,58,18125,8.24,8.31,5.09,348.534696,,,,
27468,2.08,Ideal,G,SI2,61.8,56,18124,8.22,8.18,5.07,340.904772,,,,
27467,2.1,Ideal,F,SI2,61,60,18124,8.22,8.2,5.01,337.69404,,,,
27466,2.12,Premium,E,SI2,58.3,59,18120,8.48,8.41,4.92,350.878656,,,,
27465,2.03,Very Good,D,SI2,62.4,59,18120,7.98,8.04,5,320.796,,,,
27464,2.33,Very Good,I,SI1,60.7,56,18119,8.55,8.61,5.21,383.536755,,,,
27463,2.12,Very Good,H,SI1,60.7,55,18118,8.28,8.36,5.05,349.56504,,,,
27462,2.02,Premium,E,SI2,61,59,18117,8.18,8.12,4.97,330.115352,,,,
27459,2.03,Very Good,E,SI2,58.8,59,18115,8.23,8.28,4.85,330.50034,,,,
27461,2.04,Premium,H,SI1,63,58,18115,8.1,8.03,5.08,330.41844,,,,
27460,2.04,Premium,H,SI1,62.5,61,18115,8.08,8.04,5.04,327.414528,,,,
27458,1.07,Very Good,D,IF,60.9,58,18114,6.57,6.67,4.03,176.602257,,,,
27457,2.45,Ideal,J,VS2,60.4,56,18113,8.72,8.81,5.3,407.16296,,,,
27456,1.14,Very Good,D,IF,59.1,58,18112,6.83,6.9,4.06,191.33562,,,,
27455,2.3,Ideal,H,SI2,62.6,54,18108,8.42,8.46,5.28,376.111296,,,,
27454,1.7,Very Good,E,VS2,58.6,60,18107,7.91,7.82,4.61,285.157082,,,,
27453,1.7,Very Good,G,VS2,61.9,55,18107,7.64,7.68,4.74,278.120448,,,,
27452,2.04,Premium,H,VS1,60.7,61,18104,8.18,8.1,4.94,327.31452,,,,
27451,1.51,Premium,F,IF,60.5,61,18102,7.5,7.4,4.45,246.975,,,,
27450,2.51,Very Good,I,SI2,62.3,57,18090,8.69,8.76,5.44,414.116736,,,,
27449,2.32,Ideal,H,SI1,62.6,57,18080,8.46,8.52,5.32,383.461344,,,,
27448,2.02,Ideal,G,VS2,61.7,53,18077,8.14,8.04,4.99,326.573544,,,,
27446,2.01,Very Good,G,SI1,59.1,57,18077,8.16,8.23,4.84,325.038912,,,,
27447,2.01,Premium,G,SI1,61.8,60,18077,7.99,8.04,4.95,317.98602,,,,
27445,2.01,Good,G,SI1,60.8,61,18077,7.99,8.09,4.89,316.085199,,,,
27444,2.11,Very Good,F,SI2,63.5,55,18071,8.08,8.13,5.15,338.30556,,,,
27443,2,Good,F,SI1,62.8,62,18069,8,8.03,5.03,323.1272,,,,
27442,2.29,Very Good,I,SI1,61.8,59,18068,8.44,8.51,5.24,376.359856,,,,
27441,2.19,Very Good,E,SI2,62.4,61,18067,8.23,8.31,5.16,352.899108,,,,
27440,2.04,Premium,F,SI2,60.2,58,18066,8.17,8.24,4.94,332.564752,,,,
27438,2.21,Ideal,I,SI1,61.6,57,18062,8.38,8.43,5.18,365.932812,,,,
27439,2,Ideal,H,SI1,61.8,57,18062,8.1,8.15,5.02,331.3953,,,,
27437,2.2,Ideal,I,SI1,61.7,55,18059,8.41,8.37,5.18,364.629006,,,,
27436,1.58,Ideal,E,VS1,62.6,56,18057,7.44,7.41,4.65,256.35636,,,,
27434,2.28,Premium,H,SI2,62.1,59,18055,8.44,8.4,5.23,370.78608,,,,
27435,1.7,Ideal,F,VS2,62.3,56,18055,7.65,7.61,4.75,276.528375,,,,
27433,2.02,Ideal,H,VS2,61.6,56,18050,8.17,8.12,5.02,333.028808,,,,
27432,2.01,Very Good,I,VS1,62.9,59,18041,7.94,8.03,5.02,320.066164,,,,
27431,2.51,Ideal,I,SI2,58.4,62,18037,8.87,8.79,5.15,401.531595,,,,
27429,2.25,Premium,I,SI1,60.1,60,18034,8.55,8.51,5.13,373.261365,,,,
27428,2.11,Premium,E,SI2,62.4,61,18034,8.19,8.1,5.08,337.00212,,,,
27426,2.51,Very Good,H,SI2,63.6,58,18029,8.51,8.59,5.44,397.668896,,,,
27427,2.16,Ideal,I,SI1,62,56,18029,8.28,8.3,5.14,353.24136,,,,
27425,2.26,Very Good,D,SI2,61.6,61,18028,8.47,8.38,5.19,368.378934,,,,
27423,2.01,Very Good,H,SI1,58.2,63,18027,8.32,8.23,4.82,330.042752,,,,
27424,2.01,Good,E,SI1,58.7,59,18027,8.23,8.27,4.84,329.420564,,,,
27422,2.32,Premium,I,SI1,61.2,58,18026,8.57,8.52,5.23,381.875772,,,,
