carat,cut,color,clarity,depth,table,price,x,y,z,volume
1.7,Premium,I,VS1,61.5,58,8840,7.74,7.64,4.73,279.701928
1.69,Very Good,J,I1,60.2,61,5182,7.7,7.79,4.66,279.52078
1.69,Premium,J,I1,60.2,61,5277,7.79,7.7,4.66,279.52078
1.74,Premium,H,SI1,62.1,59,7932,7.69,7.63,4.76,279.291572
1.7,Ideal,J,SI2,62,53,7464,7.68,7.65,4.75,279.072
1.7,Ideal,H,SI1,61.2,57,9139,7.71,7.68,4.71,278.892288
1.7,Premium,F,SI2,60.2,61,8397,7.79,7.68,4.66,278.794752
1.7,Ideal,H,SI2,62.1,57,7273,7.68,7.63,4.75,278.3424
1.75,Good,H,SI2,64.1,56,8385,7.59,7.55,4.85,277.926825
1.71,Premium,J,SI1,61.7,59,8690,7.63,7.7,4.73,277.89223
1.75,Ideal,J,SI1,63.3,59,8840,7.63,7.57,4.81,277.821271
1.7,Ideal,J,SI1,60.9,57,8758,7.73,7.66,4.69,277.703342
1.74,Very Good,H,I1,63.2,55,4677,7.62,7.59,4.8,277.61184
1.73,Premium,I,SI2,62,60,9207,7.67,7.63,4.74,277.394754
1.72,Premium,H,SI1,62,57,9266,7.67,7.63,4.74,277.394754
1.71,Very Good,J,SI1,62.9,58,8690,7.58,7.64,4.79,277.394648
1.71,Premium,J,SI1,62.9,58,8848,7.64,7.58,4.79,277.394648
1.7,Premium,G,SI2,62.2,59,7414,7.68,7.6,4.75,277.248
1.71,Premium,I,VS2,62.4,61,9384,7.67,7.59,4.76,277.104828
1.72,Very Good,I,SI2,63.4,57,8630,7.6,7.58,4.81,277.09448
1.73,Very Good,I,SI2,62,58,9292,7.6,7.69,4.74,277.02456
1.74,Premium,H,SI1,61.6,59,8653,7.7,7.62,4.72,276.94128
1.73,Good,E,I1,63.6,59,8220,7.56,7.6,4.82,276.93792
1.73,Good,E,I1,63.6,59,8370,7.6,7.56,4.82,276.93792
1.71,Premium,J,VS2,60.3,61,8887,7.74,7.69,4.65,276.77079
1.72,Ideal,J,SI1,62,57,8688,7.66,7.62,4.74,276.670008
1.72,Ideal,J,SI1,62,57,8900,7.66,7.62,4.74,276.670008
1.71,Very Good,J,VS2,62.6,55,9170,7.58,7.65,4.77,276.59799
1.74,Premium,I,SI2,62.2,58,7858,7.65,7.61,4.75,276.528375
1.7,Very Good,J,SI1,63.2,57,9253,7.63,7.55,4.8,276.5112
1.7,Ideal,H,I1,61.3,55,6397,7.7,7.63,4.7,276.1297
1.7,Ideal,H,I1,62.6,54.1,7068,7.58,7.63,4.77,275.874858
1.7,Ideal,H,I1,62.6,54,7197,7.63,7.58,4.77,275.874858
1.69,Ideal,H,I1,62,56,6636,7.61,7.66,4.73,275.723998
1.69,Ideal,H,I1,62,56,6757,7.66,7.61,4.73,275.723998
1.63,Very Good,I,SI1,62,54,9090,7.6,7.67,4.73,275.72116
1.63,Premium,I,SI1,62,54,9256,7.67,7.6,4.73,275.72116
1.7,Ideal,J,VS2,62.2,56,9276,7.64,7.61,4.74,275.585496
1.72,Good,J,SI2,63.2,57,7741,7.56,7.6,4.79,275.21424
1.69,Premium,F,SI2,62.4,58,9275,7.65,7.57,4.75,275.074875
1.7,Good,I,SI2,63.6,59,7464,7.62,7.52,4.8,275.05152
1.71,Premium,J,SI2,62.6,57,8540,7.62,7.58,4.76,274.935696
1.65,Very Good,J,SI1,61.7,56,7903,7.61,7.66,4.71,274.558146
1.67,Very Good,J,SI1,62.3,59,7911,7.59,7.63,4.74,274.501458
1.66,Premium,J,SI1,60.7,58,8487,7.72,7.63,4.66,274.490776
1.71,Premium,I,VS2,61.5,58,9116,7.74,7.54,4.7,274.29012
1.7,Premium,I,SI1,59.8,59,7797,7.72,7.7,4.61,274.03684
1.71,Good,F,SI2,63.7,54,6971,7.6,7.49,4.81,273.80444
1.66,Ideal,J,SI2,60.8,57,6377,7.68,7.65,4.66,273.78432
1.71,Ideal,J,SI2,60.8,57,7695,7.69,7.64,4.66,273.782456
1.73,Premium,F,SI2,63,60,8816,7.63,7.52,4.77,273.691152
1.7,Very Good,F,I1,63.1,56,5998,7.62,7.51,4.78,273.541236
1.7,Good,H,SI1,64.1,58,9158,7.54,7.51,4.83,273.500682
1.7,Ideal,I,SI2,60.7,59,8743,7.69,7.64,4.65,273.19494
1.7,Premium,I,VS2,61.3,59,9330,7.69,7.59,4.68,273.158028
1.7,Very Good,J,SI1,61.9,59,8870,7.59,7.64,4.71,273.121596
1.7,Premium,H,SI2,62.1,56,7673,7.66,7.55,4.72,272.97176
1.7,Ideal,H,SI2,62.9,57,7664,7.59,7.55,4.76,272.76942
1.72,Ideal,H,SI1,62.2,57,7840,7.65,7.55,4.72,272.6154
1.7,Premium,I,SI2,61.7,56,7140,7.66,7.57,4.7,272.53514
1.73,Good,J,SI1,63.8,60,7847,7.57,7.5,4.8,272.52
1.7,Premium,J,SI2,63,60,7650,7.59,7.53,4.76,272.046852
1.7,Good,H,SI2,63.6,56,8115,7.51,7.56,4.79,271.955124
1.71,Ideal,J,SI1,62.8,57,6320,7.58,7.55,4.75,271.83775
1.69,Premium,I,I1,62.4,60,6320,7.56,7.59,4.73,271.409292
1.69,Premium,I,I1,62.4,60,6436,7.59,7.56,4.73,271.409292
1.66,Good,J,VS2,64.4,54,8496,7.45,7.54,4.83,271.31559
1.71,Very Good,I,SI2,62.7,58,8896,7.59,7.54,4.74,271.263564
1.64,Very Good,I,SI1,62.3,58,9144,7.53,7.63,4.72,271.182408
1.71,Good,G,SI2,63.7,57,6847,7.54,7.5,4.79,270.8745
1.71,Premium,J,SI1,61.9,58,7757,7.62,7.56,4.7,270.75384
1.71,Good,J,SI2,63.9,59,7508,7.55,7.47,4.8,270.7128
1.65,Ideal,J,SI1,62.5,56,8334,7.59,7.54,4.73,270.691278
1.66,Good,F,I1,62.1,57.7,6025,7.56,7.6,4.71,270.61776
1.66,Ideal,F,I1,62.1,58,6135,7.6,7.56,4.71,270.61776
1.7,Ideal,E,SI2,61.6,57,9139,7.63,7.57,4.68,270.312588
1.7,Premium,I,SI1,61.6,56,8044,7.65,7.55,4.68,270.3051
1.74,Premium,J,VS2,61.9,62,8364,7.62,7.54,4.7,270.03756
1.64,Fair,E,SI2,63.1,60,8954,7.58,7.5,4.75,270.0375
1.7,Very Good,J,VS2,63.2,58,7730,7.56,7.5,4.76,269.892
1.65,Premium,I,SI2,62,59,8590,7.61,7.54,4.7,269.68318
1.7,Premium,I,SI2,62.9,59,9330,7.57,7.51,4.74,269.472318
1.64,Premium,I,SI2,61.3,58,8587,7.58,7.62,4.66,269.159736
1.64,Premium,I,SI2,61.3,58,8743,7.62,7.58,4.66,269.159736
1.63,Ideal,H,SI2,62.4,57,7923,7.59,7.52,4.71,268.831728
1.67,Premium,H,SI2,62.6,60,8118,7.57,7.52,4.72,268.692608
1.7,Good,J,VS2,63.6,59,8134,7.53,7.48,4.77,268.667388
1.7,Good,J,VS2,63.6,59,8282,7.53,7.48,4.77,268.667388
1.62,Ideal,H,SI2,61.8,54,8865,7.55,7.6,4.68,268.5384
1.64,Ideal,J,VS2,62.4,54.5,9251,7.53,7.57,4.71,268.479891
1.64,Premium,I,SI1,62.4,58,8716,7.58,7.52,4.71,268.477536
1.65,Very Good,H,SI2,63.4,59,8020,7.53,7.49,4.76,268.462572
1.7,Good,I,I1,63.6,58,6474,7.52,7.48,4.77,268.310592
1.62,Very Good,J,SI2,61.6,60,7072,7.52,7.64,4.67,268.304576
1.65,Ideal,J,SI1,62.2,54,8610,7.52,7.59,4.7,268.26096
1.64,Very Good,F,SI2,63.2,57,8357,7.56,7.47,4.75,268.2477
1.6,Ideal,I,SI1,62,55,9376,7.53,7.59,4.69,268.046163
1.63,Premium,I,VS1,60.9,58,8900,7.63,7.58,4.63,267.777902
1.64,Premium,J,SI2,63,58,5624,7.54,7.49,4.74,267.689604
1.64,Premium,H,SI2,61.9,58,9224,7.58,7.54,4.68,267.476976
1.73,Premium,I,SI2,61.1,62,7270,7.64,7.54,4.64,267.289984
1.68,Good,E,I1,64.3,60,5765,7.44,7.48,4.8,267.12576
1.68,Good,E,I1,64.3,60,5871,7.48,7.44,4.8,267.12576
1.7,Premium,H,SI2,59.8,61,8263,7.67,7.62,4.57,267.095478
1.65,Premium,G,I1,62,59,6788,7.53,7.57,4.68,266.769828
1.65,Premium,G,I1,62,59,6912,7.57,7.53,4.68,266.769828
1.62,Ideal,I,SI2,62.2,57,8220,7.51,7.57,4.69,266.629783
1.71,Good,J,VS2,62.8,58,8831,7.48,7.55,4.72,266.55728
1.62,Very Good,E,SI2,60.8,59,9355,7.57,7.62,4.62,266.497308
1.59,Ideal,J,VVS2,60.3,57,8227,7.65,7.58,4.59,266.16033
1.61,Premium,H,SI2,60.3,60,9167,7.66,7.57,4.59,266.156658
1.64,Very Good,G,SI2,60.9,57,8794,7.57,7.61,4.62,266.147574
1.63,Premium,I,SI1,61.5,60,7302,7.59,7.54,4.65,266.11299
1.64,Very Good,J,SI2,62.5,58,7409,7.48,7.56,4.7,265.77936
1.63,Ideal,F,I1,62,55.1,7100,7.5,7.57,4.68,265.707
1.63,Ideal,F,I1,62,55,7229,7.57,7.5,4.68,265.707
1.65,Very Good,J,SI1,61.5,58,7943,7.49,7.62,4.65,265.39317
1.58,Premium,I,VS2,59.4,61,8583,7.66,7.63,4.54,265.343932
1.61,Premium,H,SI1,61.4,58,9341,7.59,7.53,4.64,265.188528
1.58,Very Good,G,SI2,60,53,9037,7.59,7.64,4.57,265.003332
1.62,Very Good,D,SI2,61.2,61,9034,7.53,7.6,4.63,264.96564
1.62,Premium,D,SI2,61.2,61,9199,7.6,7.53,4.63,264.96564
1.63,Very Good,I,SI1,61.9,60,9199,7.51,7.55,4.66,264.22433
1.6,Ideal,H,VS2,61.5,56,7983,7.57,7.52,4.64,264.138496
1.7,Very Good,H,SI2,63.5,58,7235,7.5,7.43,4.74,264.1365
1.59,Ideal,I,SI2,60.5,55.1,8814,7.55,7.62,4.59,264.06729
1.59,Ideal,I,SI2,60.5,55,8975,7.62,7.55,4.59,264.06729
1.64,Premium,E,SI2,61.9,61,8835,7.54,7.51,4.66,263.874364
1.6,Ideal,J,VS2,61.9,55,8886,7.51,7.54,4.66,263.874364
1.6,Ideal,H,SI2,61.5,55,8779,7.53,7.55,4.64,263.79096
1.7,Good,J,VS2,64,58,8146,7.41,7.47,4.76,263.478852
1.62,Premium,F,SI2,61.6,60,9106,7.52,7.55,4.64,263.44064
1.59,Very Good,I,SI2,61.6,57,7835,7.51,7.56,4.64,263.438784
1.59,Ideal,I,SI2,61.6,57,7978,7.56,7.51,4.64,263.438784
1.6,Premium,J,SI1,62.2,58,7550,7.48,7.54,4.67,263.384264
1.7,Good,J,VS2,62.4,61,9380,7.47,7.53,4.68,263.245788
1.6,Premium,H,SI1,62.1,60,9017,7.54,7.49,4.66,263.171636
1.66,Very Good,I,SI1,63,57,8901,7.45,7.5,4.71,263.17125
1.61,Ideal,J,VS2,61.6,56,9141,7.52,7.54,4.64,263.091712
1.66,Premium,I,SI2,60,59,5310,7.63,7.56,4.56,263.033568
1.66,Very Good,H,SI1,63.3,59,8831,7.48,7.45,4.72,263.02672
1.6,Premium,E,SI1,61.2,58,9229,7.59,7.5,4.62,262.9935
1.6,Premium,I,SI1,60.3,59,8808,7.56,7.61,4.57,262.919412
1.6,Premium,F,SI2,61.1,58,9229,7.57,7.53,4.61,262.779681
1.62,Ideal,J,SI1,62.4,53.2,8075,7.47,7.51,4.68,262.546596
1.64,Very Good,J,SI2,63,58,7579,7.42,7.51,4.71,262.460982
1.59,Premium,E,SI2,60.5,59,9082,7.59,7.55,4.58,262.45461
1.57,Ideal,J,VS2,62.3,54,8363,7.5,7.49,4.67,262.33725
1.6,Ideal,J,VS1,62.1,57,8904,7.46,7.54,4.66,262.117544
1.59,Premium,I,VS2,59.9,60,9304,7.57,7.61,4.55,262.115035
1.58,Ideal,I,SI1,61.7,56,9335,7.55,7.48,4.64,262.03936
1.61,Ideal,H,SI1,62.3,56,9341,7.51,7.47,4.67,261.985599
1.59,Premium,H,SI1,61,58,8829,7.58,7.51,4.6,261.85868
1.65,Premium,H,VS1,60.9,62,9314,7.58,7.51,4.6,261.85868
1.64,Very Good,J,SI1,62.6,59,7739,7.45,7.51,4.68,261.84366
1.58,Ideal,I,SI1,62.6,56,9176,7.45,7.51,4.68,261.84366
1.61,Premium,J,SI2,62.2,59,7245,7.52,7.47,4.66,261.772704
1.6,Ideal,J,SI1,62.2,55,8138,7.46,7.53,4.66,261.769908
1.6,Ideal,H,VS2,61.2,57,8709,7.57,7.5,4.61,261.73275
1.64,Good,G,SI2,63.8,58,7154,7.45,7.41,4.74,261.66933
1.6,Premium,I,SI2,60.8,58,8630,7.59,7.51,4.59,261.634131
1.58,Premium,J,SI1,59.8,58,7654,7.61,7.57,4.54,261.538958
1.58,Ideal,J,SI1,61.6,56,7592,7.53,7.5,4.63,261.47925
1.61,Premium,F,SI1,62.9,59,8024,7.5,7.43,4.69,261.35025
1.57,Very Good,J,VS2,60.2,59,7832,7.53,7.61,4.56,261.303048
1.57,Premium,J,VS1,60.8,61,7190,7.6,7.49,4.59,261.28116
1.64,Very Good,J,SI2,62,59,7750,7.47,7.52,4.65,261.21096
1.58,Premium,H,SI2,60.4,58,8887,7.6,7.52,4.57,261.18464
1.59,Very Good,J,VS1,60.1,60,8515,7.56,7.59,4.55,261.08082
1.53,Very Good,J,VS1,59.5,60,7677,7.55,7.65,4.52,261.0639
1.55,Ideal,J,SI1,62.4,57,8301,7.5,7.45,4.67,260.93625
1.6,Premium,I,SI1,62.1,58,8852,7.51,7.47,4.65,260.863605
1.59,Ideal,J,VS1,62.1,55,8925,7.47,7.51,4.65,260.863605
1.58,Premium,H,VS2,60.5,58,8936,7.57,7.54,4.57,260.845546
1.55,Good,J,VS1,62.3,56,8076,7.44,7.52,4.66,260.721408
1.6,Ideal,I,SI2,61.9,57,8377,7.48,7.51,4.64,260.651072
1.6,Ideal,I,SI2,61.9,57,8530,7.51,7.48,4.64,260.651072
1.61,Premium,H,SI2,61.4,62,7745,7.54,7.48,4.62,260.564304
1.56,Premium,J,VS1,61.3,59,7144,7.54,7.49,4.61,260.347906
1.58,Very Good,J,SI1,61.6,57,8057,7.47,7.54,4.62,260.215956
1.56,Premium,I,VS2,60.8,59,7326,7.56,7.51,4.58,260.032248
1.61,Premium,I,SI1,62,58,8978,7.46,7.51,4.64,259.954144
1.58,Premium,E,SI2,61,60,7963,7.54,7.51,4.59,259.910586
1.58,Premium,J,VVS2,61,58,7592,7.56,7.49,4.59,259.905996
1.59,Premium,D,SI2,59.4,61,7779,7.62,7.56,4.51,259.808472
1.6,Ideal,J,SI1,62.8,55,8418,7.48,7.42,4.68,259.747488
1.59,Ideal,J,SI1,62.4,55,8176,7.45,7.48,4.66,259.68316
1.59,Ideal,J,SI1,62.4,55,8325,7.48,7.45,4.66,259.68316
1.57,Ideal,J,SI1,62,56,7640,7.5,7.46,4.64,259.608
1.62,Premium,H,SI2,63,58,6350,7.47,7.41,4.69,259.604163
1.62,Premium,J,SI1,62,60,8183,7.52,7.44,4.64,259.602432
1.6,Premium,F,SI2,61.8,57,6899,7.51,7.46,4.63,259.393898
1.58,Very Good,I,SI1,63.1,55,8782,7.42,7.45,4.69,259.25851
1.59,Ideal,J,SI2,62.1,54,7155,7.51,7.44,4.64,259.257216
1.6,Ideal,F,SI2,62.8,56,7616,7.46,7.41,4.69,259.256634
1.6,Premium,J,VS1,61.3,59,8870,7.49,7.52,4.6,259.09408
1.6,Premium,J,VS1,61.3,59,9032,7.52,7.49,4.6,259.09408
1.59,Very Good,I,SI2,61.9,58,7345,7.46,7.5,4.63,259.0485
1.57,Premium,I,SI2,60.9,58,7484,7.53,7.51,4.58,259.000374
1.6,Premium,J,VS1,62.6,59,7903,7.51,7.4,4.66,258.97484
1.59,Ideal,I,SI1,62.1,57,8835,7.48,7.46,4.64,258.915712
1.59,Premium,F,SI2,62.2,58,7123,7.49,7.45,4.64,258.91432
1.6,Ideal,H,SI2,62.1,56,9275,7.43,7.51,4.64,258.908752
1.6,Very Good,F,SI2,60.5,60,8377,7.52,7.55,4.56,258.89856
1.6,Premium,F,SI2,60.5,60,8530,7.55,7.52,4.56,258.89856
1.56,Ideal,E,SI2,61.2,56,8518,7.53,7.49,4.59,258.874623
1.59,Very Good,E,SI2,61.1,57,8994,7.48,7.54,4.59,258.872328
1.55,Ideal,J,SI1,61.7,54,7987,7.47,7.5,4.62,258.8355
1.61,Very Good,J,VS2,61.7,59,7703,7.46,7.51,4.62,258.833652
1.61,Premium,J,VS2,61.7,59,7844,7.51,7.46,4.62,258.833652
1.55,Ideal,J,SI1,61.7,54,7987,7.42,7.55,4.62,258.81702
1.58,Premium,F,SI2,60.7,60,6990,7.54,7.51,4.57,258.778078
1.59,Good,F,SI2,63.6,57,9100,7.43,7.39,4.71,258.615267
1.56,Very Good,J,SI1,59.6,58,7424,7.55,7.59,4.51,258.443295
1.56,Very Good,I,SI1,60.2,61,8470,7.5,7.59,4.54,258.4395
1.55,Premium,H,VS1,60.8,60,8593,7.54,7.5,4.57,258.4335
1.59,Ideal,I,SI1,62.4,58,9209,7.43,7.48,4.65,258.43026
1.6,Premium,H,SI2,62.4,60,9229,7.48,7.43,4.65,258.43026
1.57,Ideal,J,SI1,62.4,57,8221,7.51,7.4,4.65,258.4191
1.6,Premium,H,SI2,59.4,59,8184,7.55,7.6,4.5,258.21
1.6,Premium,H,SI2,59.4,59,8333,7.6,7.55,4.5,258.21
1.61,Premium,H,SI1,62.8,58,7754,7.47,7.4,4.67,258.14826
1.53,Premium,I,SI1,60.8,59,8911,7.54,7.49,4.57,258.088922
1.61,Very Good,G,SI2,63.4,55,6915,7.47,7.35,4.7,258.05115
1.57,Very Good,J,VS2,62,58,8538,7.45,7.48,4.63,258.01138
1.55,Ideal,J,VS1,60.4,57,8548,7.52,7.54,4.55,257.98864
1.56,Premium,J,VS1,61.1,59,8324,7.49,7.52,4.58,257.967584
1.56,Premium,J,VS1,61.1,59,8476,7.52,7.49,4.58,257.967584
1.59,Premium,J,VS2,62.6,59,7811,7.43,7.45,4.66,257.94731
1.59,Premium,J,VS2,62.6,59,7953,7.45,7.43,4.66,257.94731
1.61,Very Good,J,SI1,61.7,60,7695,7.45,7.5,4.61,257.58375
1.57,Ideal,G,SI1,61.7,55,8752,7.51,7.44,4.61,257.580984
1.59,Very Good,J,VS1,60.7,59,8515,7.49,7.54,4.56,257.524176
1.57,Ideal,H,SI2,60.7,57,9298,7.49,7.54,4.56,257.524176
1.7,Premium,J,VS2,62.9,62,9225,7.47,7.38,4.67,257.450562
1.56,Very Good,I,VS2,59.7,60,9231,7.53,7.58,4.51,257.419074
1.59,Premium,J,SI1,62.5,60,7695,7.42,7.46,4.65,257.39238
1.59,Premium,J,SI1,62.5,60,7836,7.46,7.42,4.65,257.39238
1.56,Premium,D,SI2,61.1,56,8858,7.54,7.45,4.58,257.27234
1.56,Premium,G,SI2,61.7,59,8858,7.51,7.43,4.61,257.234773
1.61,Very Good,E,SI2,61.9,57,8288,7.44,7.48,4.62,257.108544
1.57,Premium,J,VS2,59.9,57,6629,7.56,7.52,4.52,256.967424
1.56,Premium,F,SI1,60.5,59,9120,7.54,7.49,4.55,256.95943
1.62,Good,J,SI2,64.2,62,6112,7.33,7.41,4.73,256.911369
1.62,Good,J,SI2,64.2,62,6223,7.41,7.33,4.73,256.911369
1.58,Premium,I,I1,60.2,61,4459,7.55,7.51,4.53,256.853265
1.57,Ideal,G,SI2,62,56,8643,7.44,7.47,4.62,256.764816
1.54,Premium,F,SI2,62,56,7486,7.51,7.4,4.62,256.75188
1.55,Very Good,E,I1,61.6,58,5974,7.42,7.52,4.6,256.67264
1.58,Very Good,F,SI2,63.2,57,6813,7.43,7.38,4.68,256.620312
1.59,Very Good,J,VS2,62.9,58.1,8526,7.39,7.45,4.66,256.55863
1.59,Ideal,J,VS2,62.9,58,8681,7.45,7.39,4.66,256.55863
1.62,Premium,J,SI2,61.8,59,5157,7.48,7.44,4.61,256.552032
1.56,Ideal,H,SI2,62.4,55,9081,7.39,7.48,4.64,256.486208
1.57,Ideal,J,VVS2,61.4,57,9346,7.45,7.5,4.59,256.46625
1.54,Ideal,I,SI2,61.4,55,5994,7.52,7.43,4.59,256.459824
1.57,Ideal,J,SI1,62,55.6,8035,7.43,7.47,4.62,256.419702
1.54,Ideal,J,VS1,62,53,8207,7.41,7.49,4.62,256.414158
1.59,Ideal,D,SI2,61.6,55,8975,7.48,7.45,4.6,256.3396
1.6,Very Good,I,SI2,62.2,59,7906,7.42,7.46,4.63,256.285316
1.59,Good,G,SI1,63.8,56,8441,7.41,7.34,4.71,256.174074
1.57,Premium,J,SI2,59.6,56,6031,7.59,7.5,4.5,256.1625
1.59,Ideal,J,SI1,61.3,57,7943,7.43,7.52,4.58,255.901088
1.52,Premium,H,SI1,61.2,58,8566,7.53,7.43,4.57,255.681903
1.55,Ideal,J,VS1,59.5,60,8959,7.53,7.56,4.49,255.601332
1.56,Ideal,J,VS1,62.5,56,8763,7.38,7.46,4.64,255.454272
1.53,Very Good,J,SI1,61.7,58,7730,7.43,7.47,4.6,255.30966
1.56,Ideal,J,VS2,62.4,57,7809,7.39,7.46,4.63,255.249122
1.56,Ideal,J,SI2,62.1,55,5766,7.45,7.41,4.62,255.04479
1.54,Premium,I,SI2,61.2,58,7631,7.51,7.43,4.57,255.002801
1.54,Ideal,J,VS2,61.9,57,8275,7.39,7.5,4.6,254.955
1.61,Good,H,SI2,63.8,62,9005,7.35,7.38,4.7,254.9421
1.61,Good,H,SI2,63.8,62,9169,7.38,7.35,4.7,254.9421
1.57,Premium,I,VS2,60.8,59,7385,7.5,7.47,4.55,254.91375
1.59,Premium,H,SI2,62.6,59,9385,7.42,7.4,4.64,254.77312
1.57,Very Good,J,VS2,62.6,59,7832,7.39,7.43,4.64,254.771728
1.51,Premium,J,VS2,59.6,60,7418,7.48,7.58,4.49,254.575816
1.51,Premium,J,VS2,59.6,60,7553,7.58,7.48,4.49,254.575816
1.57,Ideal,I,SI1,62,59,9095,7.41,7.45,4.61,254.492745
1.53,Premium,J,SI1,60.1,59,6126,7.52,7.5,4.51,254.364
1.57,Ideal,J,SI1,62.3,57,7737,7.45,7.39,4.62,254.35641
1.55,Premium,J,VS2,60.7,59,7911,7.47,7.5,4.54,254.3535
1.55,Premium,J,VS2,60.7,59,8055,7.5,7.47,4.54,254.3535
1.54,Ideal,I,VS2,60.7,56,7848,7.51,7.46,4.54,254.351684
1.55,Premium,I,VS2,61.3,58,7656,7.48,7.44,4.57,254.325984
1.51,Good,J,VS2,59.5,61,7476,7.45,7.62,4.48,254.32512
1.53,Premium,G,SI2,61.3,59,8799,7.49,7.43,4.57,254.323699
1.55,Ideal,J,VS2,61.4,55,8498,7.41,7.49,4.58,254.194122
1.56,Premium,I,VVS2,60.5,58,8858,7.53,7.45,4.53,254.126205
1.51,Premium,E,SI2,59.3,61,8135,7.57,7.51,4.47,254.122629
1.51,Very Good,I,SI1,59.3,59,8856,7.49,7.59,4.47,254.115477
1.54,Premium,I,SI1,60.1,58,9314,7.53,7.48,4.51,254.023044
1.57,Premium,J,VS1,61.3,59,8595,7.44,7.47,4.57,253.985976
1.57,Premium,J,VS1,61.3,59,8752,7.47,7.44,4.57,253.985976
1.54,Ideal,G,SI2,61.9,55,9193,7.47,7.39,4.6,253.93518
1.54,Premium,J,VS1,60.9,61,6194,7.49,7.45,4.55,253.892275
1.52,Very Good,G,SI2,60.9,57,8151,7.44,7.5,4.55,253.89
1.52,Premium,G,SI2,60.9,57,8299,7.5,7.44,4.55,253.89
1.56,Premium,J,VS2,61.7,58,7763,7.41,7.46,4.59,253.728774
1.56,Premium,J,VS2,61.7,58,7904,7.46,7.41,4.59,253.728774
1.59,Very Good,G,SI2,61.7,59,9094,7.41,7.46,4.59,253.728774
1.55,Ideal,I,SI2,60.7,60,8056,7.49,7.46,4.54,253.674316
1.57,Ideal,H,I1,62.8,56,5170,7.42,7.36,4.64,253.395968
1.58,Very Good,H,SI2,62.4,57,8620,7.36,7.45,4.62,253.32384
1.58,Premium,H,SI2,62.4,57,8777,7.45,7.36,4.62,253.32384
1.56,Ideal,I,SI1,61.4,56,8858,7.47,7.42,4.57,253.303218
1.57,Ideal,I,SI2,62.6,58,8228,7.38,7.41,4.63,253.195254
1.54,Very Good,I,SI2,59.4,61,7589,7.49,7.56,4.47,253.111068
1.54,Premium,I,SI2,59.4,61,7727,7.56,7.49,4.47,253.111068
